

*******************************************************************************
Ephemeris / WWW_USER Sun Nov 19 19:43:56 2023 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: THEMIS-C (spacecraft) (-193)    {source: THEMIS-C_merged}
Center body name: Moon (301)                      {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2023-Oct-26 00:00:00.0000 TDB
Stop  time      : A.D. 2023-Oct-27 00:00:00.0000 TDB
Step-size       : 1 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 1737.4, 1737.4, 1737.4 km       {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2460243.556944444, A.D. 2023-Oct-26 01:22:00.0000, -2.875977827356197E+03,  7.517444235939434E+03, -1.458301851357814E+03,
2460243.557638889, A.D. 2023-Oct-26 01:23:00.0000, -2.919412212052033E+03,  7.543818833153568E+03, -1.463912309432837E+03,
2460243.558333333, A.D. 2023-Oct-26 01:24:00.0000, -2.962754062004795E+03,  7.569953530990946E+03, -1.469476192931688E+03,
2460243.559027778, A.D. 2023-Oct-26 01:25:00.0000, -3.006003378232126E+03,  7.595851013318883E+03, -1.474994006514736E+03,
2460243.559722222, A.D. 2023-Oct-26 01:26:00.0000, -3.049160171954136E+03,  7.621513914564464E+03, -1.480466245416529E+03,
2460243.560416667, A.D. 2023-Oct-26 01:27:00.0000, -3.092224466319196E+03,  7.646944819503326E+03, -1.485893398401405E+03,
2460243.561111111, A.D. 2023-Oct-26 01:28:00.0000, -3.135196294627036E+03,  7.672146269284423E+03, -1.491275943360203E+03,
2460243.561805556, A.D. 2023-Oct-26 01:29:00.0000, -3.178075699286244E+03,  7.697120758481133E+03, -1.496614349893457E+03,
2460243.562500000, A.D. 2023-Oct-26 01:30:00.0000, -3.220862732657872E+03,  7.721870735573819E+03, -1.501909080529386E+03,
2460243.563194444, A.D. 2023-Oct-26 01:31:00.0000, -3.263557453425892E+03,  7.746398609042251E+03, -1.507160588484777E+03,
2460243.563888889, A.D. 2023-Oct-26 01:32:00.0000, -3.306159931996954E+03,  7.770706742817616E+03, -1.512369319435154E+03,
2460243.564583333, A.D. 2023-Oct-26 01:33:00.0000, -3.348670245967805E+03,  7.794797460713577E+03, -1.517535712639115E+03,
2460243.565277778, A.D. 2023-Oct-26 01:34:00.0000, -3.391088478225982E+03,  7.818673046164062E+03, -1.522660199695649E+03,
2460243.565972222, A.D. 2023-Oct-26 01:35:00.0000, -3.433414722287736E+03,  7.842335740936624E+03, -1.527743202987353E+03,
2460243.566666667, A.D. 2023-Oct-26 01:36:00.0000, -3.475649076080066E+03,  7.865787752404520E+03, -1.532785139742539E+03,
2460243.567361111, A.D. 2023-Oct-26 01:37:00.0000, -3.517791644455399E+03,  7.889031248236595E+03, -1.537786418797470E+03,
2460243.568055556, A.D. 2023-Oct-26 01:38:00.0000, -3.559842539185483E+03,  7.912068359154051E+03, -1.542747442812179E+03,
2460243.568750000, A.D. 2023-Oct-26 01:39:00.0000, -3.601801878325467E+03,  7.934901180133053E+03, -1.547668609522336E+03,
2460243.569444444, A.D. 2023-Oct-26 01:40:00.0000, -3.643669783890888E+03,  7.957531772134746E+03, -1.552550305928938E+03,
2460243.570138889, A.D. 2023-Oct-26 01:41:00.0000, -3.685446385738673E+03,  7.979962160877886E+03, -1.557392917236460E+03,
